update_step,epoch,batch_start,batch_size,batch_train_loss,valid_loss
305,13,4096,256,1.62171106428766,1.6505692638281413
306,13,4352,256,1.6008773065497324,1.6490446150503402
307,13,4608,256,1.6003321397399954,1.6473621115516943
308,13,4864,256,1.5450697822277393,1.645706605999615
309,13,5120,256,1.5901569530857766,1.644142507821846
310,13,5376,256,1.581276712344055,1.6425474194756415
311,13,5632,256,1.6123193511733889,1.6409946899857761
312,13,5888,6,1.5653515382450658,1.64096134407982
313,14,0,256,1.5905173888935256,1.639431387076697
314,14,256,256,1.5567268415269062,1.6378796671294784
315,14,512,256,1.5651729828744831,1.6364180270758693
316,14,768,256,1.5671477861954588,1.6348096732310273
317,14,1024,256,1.5990198010014325,1.6332912617851931
318,14,1280,256,1.5785427277192878,1.6317056772042389
319,14,1536,256,1.6094794383242097,1.6301683358777364
320,14,1792,256,1.5910882665081187,1.628595164691268
321,14,2048,256,1.5561315176169435,1.627072077402029
322,14,2304,256,1.5769018138013053,1.625601226491563
323,14,2560,256,1.5596370419110754,1.624147392807884
324,14,2816,256,1.577738694636042,1.6227748918894145
325,14,3072,256,1.5536399982305298,1.6212250711390008
326,14,3328,256,1.5745662490591714,1.6197114647184143
327,14,3584,256,1.5648547951518461,1.618177818661877
328,14,3840,256,1.5811388365647243,1.6165894283575908
329,14,4096,256,1.557443525563873,1.6150753505159527
330,14,4352,256,1.579590560870175,1.6135933801282547
331,14,4608,256,1.5325837965701572,1.6120410173624897
332,14,4864,256,1.5590030977598472,1.610606206751427
333,14,5120,256,1.5259195191900417,1.6091440044535008
334,14,5376,256,1.5348760450668237,1.607648691520903
335,14,5632,256,1.5984551921220231,1.6062377844713362
336,14,5888,6,1.5986640258281744,1.6061923820341015
337,15,0,256,1.5297899608597358,1.604734247029487
338,15,256,256,1.5635213391548555,1.603321809622584
339,15,512,256,1.5564868291035694,1.6018365043119034
340,15,768,256,1.5548999494255553,1.6004163889591667
341,15,1024,256,1.5465743743332314,1.5989945874591798
342,15,1280,256,1.5567027054501124,1.5975012293333575
343,15,1536,256,1.546828695247403,1.5960577438068868
